// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794
// command took 2,98s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794
// command took 13,12s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794
// command took 2,66s and exited with 0
// ***** Done, took 00:00:19 (19.09 sec)   *****
// Found 3 benchmarks:
//   StructBoxing.RunOnStruct: DefaultJob
//   StructBoxing.RunOnStructWithOverride: DefaultJob
//   StructBoxing.RunOnClass: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto desempenho)// **************************
// Benchmark: StructBoxing.RunOnStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "947ac27f-b8bf-49f8-bbe8-297d236bf794.dll" --benchmarkName "PerfomanceTests.StructBoxing.RunOnStruct" --job "Default" --benchmarkId 0 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.13 (CoreCLR 4.6.28008.01, CoreFX 4.6.28008.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 100 op, 304200.00 ns, 3.0420 us/op
WorkloadJitting  1: 100 op, 264200.00 ns, 2.6420 us/op

OverheadJitting  2: 1600 op, 408300.00 ns, 255.1875 ns/op
WorkloadJitting  2: 1600 op, 574100.00 ns, 358.8125 ns/op

WorkloadPilot    1: 1600 op, 10200.00 ns, 6.3750 ns/op
WorkloadPilot    2: 3200 op, 23900.00 ns, 7.4688 ns/op
WorkloadPilot    3: 6400 op, 5500.00 ns, 0.8594 ns/op
WorkloadPilot    4: 12800 op, 24800.00 ns, 1.9375 ns/op
WorkloadPilot    5: 25600 op, 7800.00 ns, 0.3047 ns/op
WorkloadPilot    6: 51200 op, 11200.00 ns, 0.2188 ns/op
WorkloadPilot    7: 102400 op, 17400.00 ns, 0.1699 ns/op
WorkloadPilot    8: 204800 op, 29800.00 ns, 0.1455 ns/op
WorkloadPilot    9: 409600 op, 58100.00 ns, 0.1418 ns/op
WorkloadPilot   10: 819200 op, 115700.00 ns, 0.1412 ns/op
WorkloadPilot   11: 1638400 op, 206000.00 ns, 0.1257 ns/op
WorkloadPilot   12: 3276800 op, 915600.00 ns, 0.2794 ns/op
WorkloadPilot   13: 6553600 op, 1267800.00 ns, 0.1935 ns/op
WorkloadPilot   14: 13107200 op, 2697700.00 ns, 0.2058 ns/op
WorkloadPilot   15: 26214400 op, 3270800.00 ns, 0.1248 ns/op
WorkloadPilot   16: 52428800 op, 7679400.00 ns, 0.1465 ns/op
WorkloadPilot   17: 104857600 op, 13510800.00 ns, 0.1288 ns/op
WorkloadPilot   18: 209715200 op, 26673100.00 ns, 0.1272 ns/op
WorkloadPilot   19: 419430400 op, 50671300.00 ns, 0.1208 ns/op
WorkloadPilot   20: 838860800 op, 99070200.00 ns, 0.1181 ns/op
WorkloadPilot   21: 1677721600 op, 192708200.00 ns, 0.1149 ns/op
WorkloadPilot   22: 3355443200 op, 388002200.00 ns, 0.1156 ns/op
WorkloadPilot   23: 6710886400 op, 764975400.00 ns, 0.1140 ns/op
